num|DIRECCION|CALLE|COMUNA|REGION
1|ADDRESS_LINE_1                                           |DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
2|MARCOS PEREZ, 146, PUENTE ALTO, Metropolitana de Santiago|MARCOS PEREZ|PUENTE ALTO|METROPOLITANA DE SANTIAGO
3|AVENIDA ALCALDE FLOODY BUXTON, 507, CARAHUE, La Araucanía|AVENIDA ALCALDE FLOODY BUXTON|CARAHUE|LA ARAUCANIA
4|PASAJE LA CAMPANA, 1379, QUILLOTA, Valparaíso|PASAJE LA CAMPANA|QUILLOTA|VALPARAISO
5|CALLE SEIS, 122, CURICO, Maule|CALLE SEIS|CURICO|MAULE
6|VEINTE NORTE, 1131, TALCA, Maule|VEINTE NORTE|TALCA|MAULE
7|RINCONADA EL SAUCE, 125, COQUIMBO, Coquimbo|RINCONADA EL SAUCE|COQUIMBO|COQUIMBO
8|PASAJE SAN JAVIER, 1442, 33601006, RENCA, Metropolitana de Santiago|PASAJE SAN JAVIER|RENCA|METROPOLITANA DE SANTIAGO
9|CERRO SOMBRERO, 1020, MAIPU, Metropolitana de Santiago|CERRO SOMBRERO|MAIPU|METROPOLITANA DE SANTIAGO
10|AVENIDA CORONEL DE ARTILLERIA LUIS CARRERA, 1448, 3500777, LINARES, Maule|AVENIDA CORONEL DE ARTILLERIA LUIS CARRERA|LINARES|MAULE
11|COCHAMO, 798, ESTACION CENTRAL, Metropolitana de Santiago|COCHAMO|ESTACION CENTRAL|METROPOLITANA DE SANTIAGO
12|LOS DOMINICOS, 88, 34100359, OVALLE, Coquimbo|LOS DOMINICOS|OVALLE|COQUIMBO
13|MANUEL VALENZUELA DEL FIERRO, 1853, 4600433, PENAFLOR, Metropolitana de Santiago|MANUEL VALENZUELA DEL FIERRO|PENAFLOR|METROPOLITANA DE SANTIAGO
14|PASAJE EL PALTO, 2541, 41012549, CURICO, Maule|PASAJE EL PALTO|CURICO|MAULE
15|AVENIDA PROVIDENCIA, 129, 33200379, PROVIDENCIA, Metropolitana de Santiago|AVENIDA PROVIDENCIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
16|IGNACIO CARRERA PINTO, 300, COLTAUCO, Lib. Gral. Bernardo O'Higgins|IGNACIO CARRERA PINTO|COLTAUCO|LIBERTADOR GENERAL BERNARDO O HIGGINS
17|COMPANIA DE JESUS, 1085, 34100359, SANTIAGO, Metropolitana de Santiago|COMPANIA DE JESUS|SANTIAGO|METROPOLITANA DE SANTIAGO
18|SALVADOR ALLENDE GOSSENS, 750, CASA DE DOS PISOS AL LADO DEL ESTADIO, PANGUIPULLI, Los Ríos|SALVADOR ALLENDE GOSSENS|PANGUIPULLI|LOS RIOS
19|ALEJANDRO DE PABLO, 335, 12200159, RENGO, Lib. Gral. Bernardo O'Higgins|ALEJANDRO DE PABLO|RENGO|LIBERTADOR GENERAL BERNARDO O HIGGINS
20|AVENIDA LIBERTADOR BERNARDO OHIGGINS, 1485, 34100359, ABarrio, Metropolitana de Santiago|AVENIDA LIBERTADOR BERNARDO OHIGGINS|['LO PRADO', 'ESTACION CENTRAL', 'SANTIAGO', 'TALAGANTE']|METROPOLITANA DE SANTIAGO
21|AVENIDA LIBERTADOR BERNARDO OHIGGINS, 1493, 34100359, ABarrio, Metropolitana de Santiago|AVENIDA LIBERTADOR BERNARDO OHIGGINS|['LO PRADO', 'ESTACION CENTRAL', 'SANTIAGO', 'TALAGANTE']|METROPOLITANA DE SANTIAGO
